indexID,ticker,porgFullName,secShortName,exchangeCD,tradeDate,preCloseIndex,openIndex,lowestIndex,highestIndex,closeIndex,turnoverVol,turnoverValue,CHG,CHGPct
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-07-13,3877.803,3918.99,3858.637,4030.195,3970.388,64348900700,7.8243054334e+11,92.585,0.023876
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-07-14,3970.388,3958.373,3855.56,4035.435,3924.487,67055879900,8.30074682766e+11,-45.901,-0.011561
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-07-15,3924.487,3874.968,3741.25,3914.273,3805.703,60130132400,7.00536523044e+11,-118.784,-0.030267
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-07-16,3805.703,3758.505,3688.442,3877.514,3823.176,49225620000,5.6985893811e+11,17.473,0.004591
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-07-17,3823.176,3831.421,3814.147,3994.477,3957.352,48172626800,5.93066980721e+11,134.176,0.035095
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-07-20,3957.352,3948.421,3927.121,4021.326,3992.11,53910671400,6.88255569389e+11,34.758,0.008783
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-07-21,3992.11,3939.898,3912.801,4041.819,4017.675,50428802800,6.46416846829e+11,25.565,0.006404
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-07-22,4017.675,3996.427,3960.864,4042.338,4026.045,52073222500,6.78831919275e+11,8.37,0.002083
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-07-23,4026.045,4022.268,4019.038,4132.612,4123.923,56358596600,7.43531874268e+11,97.878,0.024311
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-07-24,4123.923,4124.755,4044.831,4184.449,4070.908,62742486000,8.43022070389e+11,-53.015,-0.012855
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-07-27,4070.908,3985.57,3720.444,4051.159,3725.558,55600324700,7.21298088691e+11,-345.35,-0.084834
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-07-28,3725.558,3573.143,3537.358,3762.526,3663.002,56333004200,6.85057523948e+11,-62.556,-0.016791
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-07-29,3663.002,3689.825,3612.064,3792.072,3789.168,43435208500,5.57491964594e+11,126.166,0.034443
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-07-30,3789.168,3773.788,3685.956,3844.374,3705.766,45794322800,6.15977923152e+11,-83.402,-0.022011
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-07-31,3705.766,3655.667,3620.165,3729.512,3663.726,35095574500,4.60472253774e+11,-42.04,-0.011344
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-08-03,3663.726,3614.99,3549.496,3648.943,3622.905,36396873100,4.45991593475e+11,-40.821,-0.011142
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-08-04,3622.905,3621.855,3601.289,3757.029,3756.545,36290166600,4.64036242967e+11,133.64,0.036888
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-08-05,3756.545,3745.646,3676.39,3782.352,3694.573,36642297900,4.83850277393e+11,-61.972,-0.016497
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-08-06,3694.573,3625.504,3614.742,3710.57,3661.539,27407466300,3.57515147167e+11,-33.034,-0.008941
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-08-07,3661.539,3692.614,3686.3,3756.74,3744.205,34075718400,4.45485029431e+11,82.666,0.022577
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-08-10,3744.205,3786.033,3775.854,3943.624,3928.415,49730431900,6.52622008945e+11,184.21,0.049199
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-08-11,3928.415,3928.808,3891.179,3970.337,3927.908,53892346000,7.12289933154e+11,-0.507,-0.000129
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-08-12,3927.908,3881.228,3871.136,3937.772,3886.32,44268827800,5.97050259293e+11,-41.588,-0.010588
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-08-13,3886.32,3869.911,3838.159,3955.789,3954.556,43007330300,5.78685519561e+11,68.236,0.017558
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-08-14,3954.556,3976.405,3939.835,4000.684,3965.335,46798821700,6.47466472559e+11,10.779,0.002726
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-08-17,3965.335,3947.844,3907.399,3994.537,3993.668,46043206000,6.26327680299e+11,28.333,0.007145
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-08-18,3993.668,3999.134,3743.394,4006.337,3748.164,54377082200,7.22467247365e+11,-245.504,-0.061473
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-08-19,3748.164,3646.803,3558.383,3811.427,3794.109,47539623900,5.99513277258e+11,45.945,0.012258
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-08-20,3794.109,3754.567,3663.607,3788.005,3664.291,39006305700,5.01194992628e+11,-129.818,-0.034216
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-08-21,3664.291,3609.959,3490.54,3652.837,3507.744,36992047900,4.50616485183e+11,-156.547,-0.042722
